Symbol,Name,Sector,Industry
005090,SGC에너지,UTILITY,"병유리(투명유리병/칼라유리병/박카스병/쥬스병/커피병/소주병/화장품용기),유리식기,크리스탈용기,렌지용 주방용기의 제조 판매"
016250,SGC이테크건설,INDUSTRIAL,"건축공사, 플랜트설비, 토목공사"
004060,SG세계물산,OTHER,"피복류,봉제품,P.E제품 수출입,도매,제조/조경사업"
001380,SG충방,INDUSTRIAL,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매"
002360,SH에너지화학,MATERIALS,"합성수지(PS/EPS,ABS수지) 제조"
009160,SIMPAC,INDUSTRIAL,"프레스,자동화장치,자동차부품 제조,도매"
123700,SJM,INDUSTRIAL,자동차및산업용Bellows
025530,SJM홀딩스,INDUSTRIAL,지주회사및경영자문
034730,SK,FINANCIAL,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매"
307070,SK4호스팩,FINANCIAL,기업인수합병
337450,SK5호스팩,FINANCIAL,기업인수합병
340350,SK6호스팩,FINANCIAL,
011790,SKC,MATERIALS,"폴리에스테르필름,합성수지,LCD용 필름 제조"
018670,SK가스,OTHER,"액화석유가스,가스기기 판매,수입,저장"
001740,SK네트웍스,OTHER,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업"
006120,SK디스커버리,FINANCIAL,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,"
210980,SK디앤디,REAL_ESTATE,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)"
068400,SK렌터카,INDUSTRIAL,승용자동차 임대
036490,SK머티리얼즈,MATERIALS,"반도체 및 디스플레이용 특수가스(NF3, SiH4, WF6 등)"
326030,SK바이오팜,OTHER,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발
096770,SK이노베이션,ENERGY,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업"
