Symbol,Name,Industry,Sector
BNTX,Biontech SE ADR,생명 공학 및 의학 연구,HEALTH
STLD,Steel Dynamics Inc,철 및 강철,MATERIALS
TER,Teradyne Inc,반도체 장비 및 테스트,IT
WDC,Western Digital Corp,컴퓨터 하드웨어,IT
COO,Cooper Companies Inc,"의료 장비, 물품 및 유통",HEALTH
GMAB,Genmab A/S ADR,생명 공학 및 의학 연구,HEALTH
ZM,Zoom Video Communications Inc,소프트웨어,IT
BGNE,Beigene Ltd ADR,생명 공학 및 의학 연구,HEALTH
VRSN,VeriSign  Inc,IT 서비스 및 컨설팅,IT
SSNC,SS&C Technologies Holdings Inc,IT 서비스 및 컨설팅,IT
PFG,Principal Financial Group Inc,투자 관리 및 펀드 운영,FINANCIAL
NTRS,Northern Trust Corp,투자 관리 및 펀드 운영,FINANCIAL
JBHT,J B Hunt Transport Services Inc,지상 화물 및 물류,INDUSTRIAL
MDB,MongoDB Inc,소프트웨어,IT
BMRN,Biomarin Pharmaceutical Inc,제약,HEALTH
RPRX,Royalty Pharma PLC,제약,HEALTH
ZBRA,Zebra Technologies Corp,전자 장비 및 부품,IT
FWONK,Liberty Media Formula One Ord Shs Series C,방송,COMMUNICATION
TPG,TPG Inc,투자 관리 및 펀드 운영,FINANCIAL
SWKS,Skyworks Solutions Inc,반도체,IT
ULTA,Ulta Beauty Inc,기타 전문 소매,CD
ALGN,Align Technology Inc,"의료 장비, 물품 및 유통",HEALTH
HOOD,Robinhood Markets Inc,핀테크,FINANCIAL
EXPE,Expedia Group Inc,여가 및 오락시설,CD
GEN,Gen Digital Inc,소프트웨어,IT
WMG,Warner Music Group Corp,엔터테인먼트 제작,COMMUNICATION
ENTG,Entegris Inc,반도체 장비 및 테스트,IT
MANH,Manhattan Associates Inc,IT 서비스 및 컨설팅,IT
DKNG,Draftkings Inc,카지노 및 도박,CD
LPLA,LPL Financial Holdings Inc,투자 은행 및 중개 서비스,FINANCIAL
NBIX,Neurocrine Biosciences Inc,생명 공학 및 의학 연구,HEALTH
LOGI,Logitech International SA,컴퓨터 하드웨어,IT
OKTA,Okta Inc,IT 서비스 및 컨설팅,IT
LNT,Alliant Energy Corp,전력 유틸리티,UTILITY
UTHR,United Therapeutics Corp,생명 공학 및 의학 연구,HEALTH
BSY,Bentley Systems Inc,소프트웨어,IT
AKAM,Akamai Technologies Inc,IT 서비스 및 컨설팅,IT
RIVN,Rivian Automotive Inc,자동차 및 트럭 제조,INDUSTRIAL
ENPH,Enphase Energy Inc,재생 가능 에너지 장비 및 서비스,ENERGY
CASY,Caseys General Stores Inc,식품 소매 및 유통,CS
CG,Carlyle Group Inc,투자 관리 및 펀드 운영,FINANCIAL
EVRG,Evergy Inc,전력 유틸리티,UTILITY
VTRS,Viatris Inc,제약,HEALTH
GLPI,Gaming and Leisure Properties Inc,특수 REITs,REAL_ESTATE
POOL,Pool Corp,오락용 제품,CD
PODD,Insulet Corp,"의료 장비, 물품 및 유통",HEALTH
NDSN,Nordson Corp,산업용 기계 및 장비,INDUSTRIAL
SRPT,Sarepta Therapeutics Inc,생명 공학 및 의학 연구,HEALTH
AZPN,Aspen Technology Inc,소프트웨어,IT
MORN,Morningstar Inc,전문 정보 서비스,CS
ARCC,Ares Capital Corp,폐쇄형 펀드,FINANCIAL
SYM,Symbotic Inc,산업용 기계 및 장비,INDUSTRIAL
UAL,United Airlines Holdings Inc,항공사,INDUSTRIAL
REG,Regency Centers Corp,상업용 REITs,REAL_ESTATE
GRAB,Grab Holdings Ltd,소프트웨어,IT
TRMB,Trimble Inc,소프트웨어,IT
NTRA,Natera Inc,의료 시설 및 서비스,HEALTH
TTEK,Tetra Tech Inc,환경 서비스 및 장비,INDUSTRIAL
PAA,Plains All American Pipeline Units,오일 및 가스 수송 서비스,ENERGY
JKHY,Jack Henry & Associates Inc,IT 서비스 및 컨설팅,IT
MBLY,Mobileye Global Inc,통합 하드웨어 및 소프트웨어,IT
SIRI,Sirius XM Holdings Inc,방송,COMMUNICATION
NTNX,Nutanix Inc,IT 서비스 및 컨설팅,IT
LAMR,Lamar Advertising Co,특수 REITs,REAL_ESTATE
INCY,Incyte Corp,제약,HEALTH
INSM,Insmed Inc,생명 공학 및 의학 연구,HEALTH
CHRW,CH Robinson Worldwide Inc,지상 화물 및 물류,INDUSTRIAL
MEDP,Medpace Holdings Inc,생명 공학 및 의학 연구,HEALTH
HST,Host Hotels & Resorts Inc,특수 REITs,REAL_ESTATE
TECH,Bio-Techne Corp,생명 공학 및 의학 연구,HEALTH
FLEX,Flex Ltd,전자 장비 및 부품,IT
TXRH,Texas Roadhouse Inc,레스토랑 및 바,CD
COKE,Coca-Cola Consolidated Inc,무알콜 음료,CD
FFIV,F5 Inc,IT 서비스 및 컨설팅,IT
EWBC,East West Bancorp Inc,은행,FINANCIAL
LECO,Lincoln Electric Holdings Inc,산업용 기계 및 장비,INDUSTRIAL
WING,Wingstop Inc,레스토랑 및 바,CD
DOCU,DocuSign Inc,소프트웨어,IT
PPC,Pilgrims Pride Corp,식품 가공,CD
NICE,Nice Ltd ADR,소프트웨어,IT
EXAS,Exact Sciences Corp,생명 공학 및 의학 연구,HEALTH
MNDY,Monday.Com Ltd,소프트웨어,IT
CYBR,Cyberark Software Ltd,소프트웨어,IT
FTAI,FTAI Aviation Ltd,기업 금융 서비스,FINANCIAL
LKQ,LKQ Corp,"자동차, 트럭 및 오토바이 부품",INDUSTRIAL
SAIA,Saia Inc,지상 화물 및 물류,INDUSTRIAL
LEGN,Legend Biotech Corp ADR,생명 공학 및 의학 연구,HEALTH
APA,APA Corp (US),"오일, 가스 탐사 및 생산",ENERGY
NWSA,News Corp Class A,소비자 출판,CD
MMYT,MakeMyTrip Ltd,여가 및 오락시설,CD
CHDN,Churchill Downs Inc,카지노 및 도박,CD
CHRD,Chord Energy Corp,"오일, 가스 탐사 및 생산",ENERGY
QRVO,Qorvo Inc,반도체,IT
DOX,Amdocs Ltd,IT 서비스 및 컨설팅,IT
SFM,Sprouts Farmers Market Inc,식품 소매 및 유통,CS
WBA,Walgreens Boots Alliance Inc,의약품 소매,HEALTH
CELH,Celsius Holdings Inc,무알콜 음료,CD
BRKR,Bruker Corp,첨단 의료 장비 및 기술,HEALTH
CHK,Chesapeake Energy Corp,"오일, 가스 탐사 및 생산",ENERGY
XP,XP Inc,투자 은행 및 중개 서비스,FINANCIAL
WWD,Woodward Inc,항공우주 및 방위,INDUSTRIAL
RGEN,Repligen Corp,"의료 장비, 물품 및 유통",HEALTH
FOXA,Fox Corp Class A,방송,COMMUNICATION
LNW,Light & Wonder Inc,카지노 및 도박,CD
MTCH,Match Group Inc,온라인 서비스,IT
HAS,Hasbro Inc,장난감 및 어린이 제품,CD
MKTX,Marketaxess Holdings Inc,"금융, 상품 시장 운영 및 서비스 제공",FINANCIAL
HTHT,H World Group Ltd ADR,"호텔, 모텔 및 크루즈 라인",CD
FOX,Fox Corp Class B,방송,COMMUNICATION
WIX,Wix.Com Ltd,온라인 서비스,IT
CART,Maplebear Inc,온라인 서비스,IT
PCTY,Paylocity Holding Corp,소프트웨어,IT
RGLD,Royal Gold Inc,금,MATERIALS
HSIC,Henry Schein Inc,"의료 장비, 물품 및 유통",HEALTH
WYNN,Wynn Resorts Ltd,카지노 및 도박,CD
VFS,VinFast Auto Ltd,자동차 및 트럭 제조,INDUSTRIAL
SEIC,SEI Investments Co,투자 관리 및 펀드 운영,FINANCIAL
ESLT,Elbit Systems Ltd,항공우주 및 방위,INDUSTRIAL
DSGX,Descartes Systems Group Inc,소프트웨어,IT
FUTU,Futu Holdings Ltd ADR,핀테크,FINANCIAL
ENSG,Ensign Group Inc,의료 시설 및 서비스,HEALTH
PCVX,Vaxcyte Inc,생명 공학 및 의학 연구,HEALTH
LBRDK,Liberty Broadband Corp Series C,방송,COMMUNICATION
VNOM,Viper Energy Inc,"오일, 가스 탐사 및 생산",ENERGY
AGNC,AGNC Investment Corp,특수 REITs,REAL_ESTATE
ITCI,Intra-Cellular Therapies Inc,제약,HEALTH
OTEX,Open Text Corp,소프트웨어,IT
CBSH,Commerce Bancshares Inc,은행,FINANCIAL
APPF,Appfolio Inc,소프트웨어,IT
ROKU,Roku Inc,엔터테인먼트 제작,COMMUNICATION
CZR,Caesars Entertainment Inc,카지노 및 도박,CD
FSV,Firstservice Corp,부동산 서비스,REAL_ESTATE
ROIV,Roivant Sciences Ltd,제약,HEALTH
